[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       16615    ct1pg-gnode001  0
[0] MPI startup(): 1       16616    ct1pg-gnode001  1
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 17:41:43 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.66         0.00
            1         1000         0.67         1.49
            2         1000         0.65         3.07
            4         1000         0.65         6.13
            8         1000         0.67        11.98
           16         1000         0.65        24.71
           32         1000         0.70        45.64
           64         1000         0.68        93.79
          128         1000         0.72       177.68
          256         1000         0.68       378.19
          512         1000         1.15       443.48
         1024         1000         1.24       823.05
         2048         1000         1.37      1499.64
         4096         1000         1.87      2190.50
         8192         1000         2.38      3438.46
        16384         1000         3.54      4626.47
        32768         1000         5.51      5946.11
        65536          640         9.29      7055.08
       131072          320        15.49      8463.35
       262144          160        29.97      8745.97
       524288           80        67.83      7729.17
      1048576           40       132.08      7938.94
      2097152           20       258.79      8103.75
      4194304           10       509.10      8238.74
      8388608            5      1073.53      7814.03
     16777216            2      2408.92      6964.63
     33554432            1      7839.29      4280.29
     67108864            1     15801.41      4247.02
    134217728            1     31698.79      4234.16
    268435456            1     62572.25      4290.01


# All processes entering MPI_Finalize

