[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       773      ct1pt-tnode008  0
[0] MPI startup(): 1       774      ct1pt-tnode008  23
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 15:40:15 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.45         0.00
            1         1000         0.44         2.25
            2         1000         0.44         4.52
            4         1000         0.45         8.89
            8         1000         0.44        17.99
           16         1000         0.44        35.99
           32         1000         0.63        50.56
           64         1000         0.63       101.84
          128         1000         0.97       131.45
          256         1000         1.15       223.34
          512         1000         1.21       424.63
         1024         1000         1.48       694.14
         2048         1000         2.23       916.91
         4096         1000         3.22      1270.24
         8192         1000         5.14      1592.32
        16384         1000         4.59      3566.64
        32768         1000         5.25      6242.58
        65536          640         6.71      9773.51
       131072          320         8.67     15124.75
       262144          160        12.95     20247.27
       524288           80        22.18     23642.53
      1048576           40        50.07     20942.07
      2097152           20       141.11     14861.48
      4194304           10       289.16     14505.24
      8388608            5       596.26     14068.77
     16777216            2      1852.38      9057.12
     33554432            1      5430.25      6179.17
     67108864            1     11751.80      5710.52
    134217728            1     23563.03      5696.11
    268435456            1     47284.73      5677.00


# All processes entering MPI_Finalize

