[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       1190     ct1pt-tnode008  0
[0] MPI startup(): 1       1191     ct1pt-tnode008  2
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 15:40:49 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.22         0.00
            1         1000         0.28         3.58
            2         1000         0.22         8.99
            4         1000         0.23        17.67
            8         1000         0.22        35.70
           16         1000         0.23        71.04
           32         1000         0.24       133.94
           64         1000         0.24       265.35
          128         1000         0.26       501.61
          256         1000         0.28       913.48
          512         1000         0.42      1224.37
         1024         1000         0.44      2350.25
         2048         1000         0.58      3514.97
         4096         1000         0.83      4957.56
         8192         1000         1.43      5717.36
        16384         1000         2.43      6755.41
        32768         1000         3.63      9035.40
        65536          640         5.74     11412.27
       131072          320         8.74     14989.89
       262144          160        15.08     17381.89
       524288           80        41.03     12779.32
      1048576           40        82.01     12786.50
      2097152           20       156.16     13429.68
      4194304           10       391.32     10718.33
      8388608            5      1151.26      7286.47
     16777216            2      2557.69      6559.51
     33554432            1      5874.62      5711.76
     67108864            1     11678.38      5746.42
    134217728            1     23448.16      5724.02
    268435456            1     48426.80      5543.12


# All processes entering MPI_Finalize

