[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       17806    ct1pt-tnode007  0
[0] MPI startup(): 1       17807    ct1pt-tnode007  22
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:43:21 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.23         0.00
            1         1000         0.23         4.33
            2         1000         0.23         8.54
            4         1000         0.24        16.95
            8         1000         0.24        34.03
           16         1000         0.24        67.28
           32         1000         0.25       130.16
           64         1000         0.24       261.93
          128         1000         0.26       496.66
          256         1000         0.28       913.02
          512         1000         0.41      1251.29
         1024         1000         0.45      2287.39
         2048         1000         0.58      3519.61
         4096         1000         0.85      4799.87
         8192         1000         1.42      5785.90
        16384         1000         2.33      7026.55
        32768         1000         3.44      9529.30
        65536          640         5.69     11524.43
       131072          320         8.61     15222.50
       262144          160        14.87     17627.14
       524288           80        40.85     12835.96
      1048576           40        81.56     12856.85
      2097152           20       153.68     13646.49
      4194304           10       371.77     11282.03


# All processes entering MPI_Finalize

