[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       14681    ct1pt-tnode007  0
[0] MPI startup(): 1       14682    ct1pt-tnode007  1
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:25:19 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.68         0.00
            1         1000         0.68         1.48
            2         1000         0.68         2.94
            4         1000         0.70         5.75
            8         1000         0.65        12.25
           16         1000         0.67        23.94
           32         1000         0.68        47.08
           64         1000         0.71        90.34
          128         1000         0.73       175.98
          256         1000         0.75       342.92
          512         1000         1.15       444.98
         1024         1000         1.29       793.49
         2048         1000         1.38      1482.86
         4096         1000         1.75      2341.26
         8192         1000         2.26      3620.77
        16384         1000         3.22      5086.23
        32768         1000         5.30      6182.72
        65536          640         9.43      6947.51
       131072          320        18.09      7243.93
       262144          160        34.68      7559.77
       524288           80        84.78      6183.81
      1048576           40       170.32      6156.41
      2097152           20       337.56      6212.69
      4194304           10       672.09      6240.70


# All processes entering MPI_Finalize

