[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: verbs;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       17914    ct1pt-tnode007  0
[0] MPI startup(): 1       17915    ct1pt-tnode007  22
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:43:52 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.24         0.00
            1         1000         0.25         4.03
            2         1000         0.24         8.31
            4         1000         0.24        16.50
            8         1000         0.25        32.12
           16         1000         0.24        66.30
           32         1000         0.26       125.48
           64         1000         0.26       248.05
          128         1000         0.27       470.42
          256         1000         0.30       852.10
          512         1000         0.43      1197.43
         1024         1000         0.46      2209.26
         2048         1000         0.59      3445.32
         4096         1000         0.87      4713.98
         8192         1000         1.38      5946.84
        16384         1000         2.32      7066.94
        32768         1000         3.45      9511.13
        65536          640         5.58     11744.74
       131072          320         8.60     15233.60
       262144          160        14.82     17686.73
       524288           80        40.67     12892.14
      1048576           40        80.72     12990.59
      2097152           20       153.51     13661.31
      4194304           10       394.67     10627.27


# All processes entering MPI_Finalize

