[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       17696    ct1pt-tnode007  0
[0] MPI startup(): 1       17697    ct1pt-tnode007  2
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:42:44 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.52         0.00
            1         1000         0.52         1.94
            2         1000         0.52         3.88
            4         1000         0.50         7.94
            8         1000         0.51        15.59
           16         1000         0.51        31.32
           32         1000         0.52        61.67
           64         1000         0.52       123.58
          128         1000         0.52       246.10
          256         1000         0.53       479.44
          512         1000         0.67       760.07
         1024         1000         0.75      1374.06
         2048         1000         0.89      2305.15
         4096         1000         1.16      3522.55
         8192         1000         1.51      5433.46
        16384         1000         2.32      7069.77
        32768         1000         3.46      9464.51
        65536          640         5.68     11541.77
       131072          320         8.63     15188.37
       262144          160        14.78     17741.07
       524288           80        41.05     12772.57
      1048576           40        81.34     12891.71
      2097152           20       154.80     13547.58
      4194304           10       396.79     10570.48


# All processes entering MPI_Finalize

