[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       13834    ct1pt-tnode007  0
[0] MPI startup(): 1       13835    ct1pt-tnode007  23
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:21:38 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.43         0.00
            1         1000         0.43         2.31
            2         1000         0.43         4.64
            4         1000         0.43         9.20
            8         1000         0.43        18.45
           16         1000         0.43        36.97
           32         1000         0.46        69.00
           64         1000         0.47       137.28
          128         1000         0.56       230.44
          256         1000         0.61       422.34
          512         1000         0.85       603.77
         1024         1000         0.89      1147.98
         2048         1000         1.07      1915.94
         4096         1000         1.56      2632.31
         8192         1000         1.99      4114.45
        16384         1000         3.20      5113.16
        32768         1000         5.12      6395.54
        65536          640         9.38      6983.16
       131072          320        17.84      7347.78
       262144          160        34.21      7663.49
       524288           80        82.20      6377.95
      1048576           40       168.73      6214.64
      2097152           20       331.34      6329.31
      4194304           10       658.30      6371.46


# All processes entering MPI_Finalize

