[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       14750    ct1pt-tnode007  0
[0] MPI startup(): 1       14751    ct1pt-tnode007  1
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:26:12 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.43         0.00
            1         1000         0.43         2.31
            2         1000         0.43         4.65
            4         1000         0.43         9.25
            8         1000         0.43        18.44
           16         1000         0.43        36.90
           32         1000         0.47        67.71
           64         1000         0.47       135.36
          128         1000         0.58       220.92
          256         1000         0.62       413.48
          512         1000         0.82       621.82
         1024         1000         0.89      1152.49
         2048         1000         1.05      1945.49
         4096         1000         1.50      2725.68
         8192         1000         1.92      4256.17
        16384         1000         3.24      5060.82
        32768         1000         5.11      6418.40
        65536          640         9.34      7018.98
       131072          320        17.88      7329.25
       262144          160        34.42      7616.65
       524288           80        83.46      6281.89
      1048576           40       170.08      6165.16
      2097152           20       337.56      6212.76
      4194304           10       669.50      6264.83


# All processes entering MPI_Finalize

