[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: verbs;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       14900    ct1pt-tnode007  0
[0] MPI startup(): 1       14901    ct1pt-tnode007  1
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:26:58 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.44         0.00
            1         1000         0.45         2.23
            2         1000         0.45         4.45
            4         1000         0.45         8.96
            8         1000         0.45        17.95
           16         1000         0.45        35.54
           32         1000         0.48        66.61
           64         1000         0.48       133.75
          128         1000         0.58       221.50
          256         1000         0.63       407.30
          512         1000         0.81       633.16
         1024         1000         0.88      1159.44
         2048         1000         1.04      1978.31
         4096         1000         1.48      2760.38
         8192         1000         2.02      4046.52
        16384         1000         3.20      5127.36
        32768         1000         5.05      6486.27
        65536          640         9.01      7274.46
       131072          320        18.03      7269.47
       262144          160        34.37      7627.73
       524288           80        83.75      6259.94
      1048576           40       169.76      6176.66
      2097152           20       336.75      6227.59
      4194304           10       669.89      6261.15


# All processes entering MPI_Finalize

