[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       17534    ct1pt-tnode007  0
[0] MPI startup(): 1       17535    ct1pt-tnode007  22
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:40:35 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.23         0.00
            1         1000         0.23         4.31
            2         1000         0.23         8.60
            4         1000         0.23        17.23
            8         1000         0.23        34.41
           16         1000         0.23        68.65
           32         1000         0.24       132.46
           64         1000         0.24       263.98
          128         1000         0.26       495.33
          256         1000         0.28       905.50
          512         1000         0.42      1211.79
         1024         1000         0.46      2245.62
         2048         1000         0.59      3465.87
         4096         1000         0.86      4784.83
         8192         1000         1.38      5926.30
        16384         1000         2.33      7019.30
        32768         1000         3.47      9433.07
        65536          640         5.65     11598.55
       131072          320         8.61     15231.10
       262144          160        14.90     17587.79
       524288           80        40.91     12814.54
      1048576           40        80.60     13008.87
      2097152           20       153.40     13670.88
      4194304           10       377.50     11110.81


# All processes entering MPI_Finalize

