[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       18697    ct1pt-tnode007  0
[0] MPI startup(): 1       18698    ct1pt-tnode007  22
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Thu Nov 25 10:46:56 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.25         0.00
            1         1000         0.25         3.93
            2         1000         0.25         8.00
            4         1000         0.25        15.89
            8         1000         0.25        31.76
           16         1000         0.25        63.91
           32         1000         0.29       111.05
           64         1000         0.29       221.85
          128         1000         0.39       330.27
          256         1000         0.40       632.31
          512         1000         0.44      1173.07
         1024         1000         0.58      1761.01
         2048         1000         0.81      2529.18
         4096         1000         1.20      3423.67
         8192         1000         1.97      4162.07
        16384         1000         3.67      4466.64
        32768         1000         4.38      7474.57
        65536          640         6.08     10786.12
       131072          320         8.02     16333.51
       262144          160        12.41     21121.33
       524288           80        21.81     24040.23
      1048576           40        49.25     21290.03
      2097152           20       139.16     15069.58
      4194304           10       288.24     14551.19


# All processes entering MPI_Finalize

